nama_produk,price,image-src,description
"Sepatu Olahraga R 319","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5628-6341-home/sepatu-olahraga-r-319.jpg","Bahan : Kulit Sol : PVC Ukuran : 38 - 43 Warna : SlvMrh Merk : Garsel Shoes"
"Sepatu Olahraga Pria 201 AT 067","Rp. 144.000","http://sepatucibaduyut.web.id/toko/5258-5972-home/sepatu-olahraga-pria-201-at-067.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga R 317","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5626-6339-home/sepatu-olahraga-r-317.jpg","Bahan : Kulit Sol : PVC Ukuran : 38 - 43 Warna : MrhKom Merk : Garsel Shoes"
"Sepatu Olahraga Pria 166 JA 008","Rp. 114.000","http://sepatucibaduyut.web.id/toko/5252-5966-home/sepatu-olahraga-pria-166-ja-008.jpg","Bahan : CANVAS Ukuran : 37 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 202 SD 012","Rp. 161.000","http://sepatucibaduyut.web.id/toko/5259-5973-home/sepatu-olahraga-pria-202-sd-012.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 211 TF 091","Rp. 177.000","http://sepatucibaduyut.web.id/toko/5268-5982-home/sepatu-olahraga-pria-211-tf-091.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 209 NS 053","Rp. 165.000","http://sepatucibaduyut.web.id/toko/5266-5980-home/sepatu-olahraga-pria-209-ns-053.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga R 281","Rp. 236.000","http://sepatucibaduyut.web.id/toko/5591-6304-home/sepatu-olahraga-r-281.jpg","Bahan : PU-PVC Sol : Pylon Ukuran : 38 - 43 Warna : BirKom Merk : Garsel Shoes"
"Sepatu Olahraga R 316","Rp. 174.000","http://sepatucibaduyut.web.id/toko/5625-6338-home/sepatu-olahraga-r-316.jpg","Bahan : Kulit Sol : PVC Ukuran : 38 - 43 Warna : PthKom Merk : Garsel Shoes"
"Sepatu Olahraga R 282","Rp. 256.000","http://sepatucibaduyut.web.id/toko/5592-6305-home/sepatu-olahraga-r-282.jpg","Bahan : PU-PVC Sol : Pylon Ukuran : 38 - 43 Warna : PthHtm Merk : Garsel Shoes"
"Sepatu Olahraga R 297","Rp. 149.000","http://sepatucibaduyut.web.id/toko/5613-6326-home/sepatu-olahraga-r-297.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : SlvKom Merk : Garsel Shoes"
"Sepatu Olahraga Pria 192BAR 362","Rp. 149.000","http://sepatucibaduyut.web.id/toko/3250-3922-home/sepatu-olahraga-pria-192bar-362.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga Pria 215 DY 035","Rp. 177.000","http://sepatucibaduyut.web.id/toko/5272-5986-home/sepatu-olahraga-pria-215-dy-035.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga R 263","Rp. 201.000","http://sepatucibaduyut.web.id/toko/5584-6297-home/sepatu-olahraga-r-263.jpg","Bahan : PU-PVC Sol : Karet Ukuran : 38 - 43 Warna : HtmKng Merk : Garsel Shoes"
"Sepatu Olahraga Pria 172BSN 204","Rp. 150.000","http://sepatucibaduyut.web.id/toko/3246-3918-home/sepatu-olahraga-pria-172bsn-204.jpg","Bahan : P.U Ukuran : 38 - 43 Produk : BSM SOGA"
"Sepatu Olahraga R 293","Rp. 158.000","http://sepatucibaduyut.web.id/toko/5607-6320-home/sepatu-olahraga-r-293.jpg","Bahan : PU-Kulit Sol : Karet Ukuran : 38 - 43 Warna : Hitam Merk : Garsel Shoes"
"Sepatu Olahraga Pria 200 AT 065","Rp. 144.000","http://sepatucibaduyut.web.id/toko/5257-5971-home/sepatu-olahraga-pria-200-at-065.jpg","Bahan : SYNTETIC Ukuran : 38 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 168 JA 001","Rp. 104.000","http://sepatucibaduyut.web.id/toko/5253-5967-home/sepatu-olahraga-pria-168-ja-001.jpg","Bahan : CANVAS Ukuran : 34 - 43 Produk : Catenzo"
"Sepatu Olahraga Pria 156BRM 420","Rp. 107.000","http://sepatucibaduyut.web.id/toko/3232-3905-home/sepatu-olahraga-pria-156brm-420.jpg","Bahan :Non Kulit Ukuran : 38 - 42 Produk : BSM SOGA"
